strategy_id,asset_key,label,family,profit_factor,trades,total_r,win_rate_pct,max_drawdown_r,variant_id
competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_38442616,aud_usd,Competition AUDUSD Us First30 Last30 Reversal Signalmonth,us_first30_last30_reversal_signalmonth,2.24518,48,8.259806,58.333333,2.993469,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570
competition_gold_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entryminute_9_c8e1caae,gold_futures,Competition GC Daily Tsmom Next Overnight Signalweekdayside,daily_tsmom_next_overnight_signalweekdayside,2.232107,116,179.587597,64.655172,23.113758,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=momentum|entry=945|exit=570|lookback=3|signal_weekday_side=1_long
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_f0b49d26,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.226542,66,44.648739,57.575758,6.609379,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0.35|signal_month=11
competition_usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_3d256058,usd_jpy,Competition USDJPY London First30 Ny Open Momentum Signalmonth,london_first30_ny_open_momentum_signalmonth,2.207472,81,54.502365,61.728395,11.237772,competition_session_edge|family=london_first30_ny_open_momentum_signalmonth|direction=same|entry=480|exit=570|min_signal_atr=0.1|signal_end=195|signal_month=10|signal_start=180
competition_usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_77986608,usd_jpy,Competition USDJPY London First30 Ny Open Momentum Signalmonth,london_first30_ny_open_momentum_signalmonth,2.189299,87,56.949158,62.068966,11.237772,competition_session_edge|family=london_first30_ny_open_momentum_signalmonth|direction=same|entry=480|exit=570|min_signal_atr=0.05|signal_end=195|signal_month=10|signal_start=180
competition_usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_79315567,usd_jpy,Competition USDJPY London First30 Ny Open Momentum Signalmonth,london_first30_ny_open_momentum_signalmonth,2.189299,87,56.949158,62.068966,11.237772,competition_session_edge|family=london_first30_ny_open_momentum_signalmonth|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_month=10|signal_start=180
competition_australian_dollar_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exit_1aa4fa28,australian_dollar_futures,Competition 6A Ny Open Gap Fade Signalmonth,ny_open_gap_fade_signalmonth,2.189272,66,81.218837,56.060606,15.155368,competition_session_edge|family=ny_open_gap_fade_signalmonth|direction=fade|entry=570|exit=945|min_gap_atr=0.35|signal_month=10
competition_eur_cad_daily_tsmom_next_overnight_signalmonth_direction_contrarian_entryminute_945_exitmi_2aad4569,eur_cad,Competition EURCAD Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.157418,103,120.012509,56.31068,15.483394,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=contrarian|entry=945|exit=570|lookback=20|signal_month=2
competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_57ff6674,usd_cad,Competition USDCAD Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.147859,70,105.624039,64.285714,34.235115,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=momentum|entry=945|exit=570|lookback=20|signal_month=12
competition_australian_dollar_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exit_e08bc2a9,australian_dollar_futures,Competition 6A Ny Open Gap Fade Signalmonth,ny_open_gap_fade_signalmonth,2.147722,65,78.3813,55.384615,17.992905,competition_session_edge|family=ny_open_gap_fade_signalmonth|direction=fade|entry=570|exit=945|min_gap_atr=0.5|signal_month=10
