status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,british_pound_futures,6B,competition_session_edge,best,False,3,1m,39,2.782680,39,8.878714,2.573634,39,58.974359,7.837549,0.200963,0.973474,2.305345,0.945222,1.433781,1.229782,1.260996,4,1.000000,1.714552,2.770980,sl:1;time_exit:37;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_5y_note_futures,ZF,competition_session_edge,best,True,3,1m,48,2.449551,48,8.948158,2.449551,48,60.416667,8.948158,0.186420,2.328698,1.117337,0.848645,1.030114,1.331246,1.119123,4,0.750000,0.512683,2.605185,sl:2;time_exit:46,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_5y_note_futures,ZF,competition_session_edge,best,True,4,1m,48,2.449551,48,8.948158,2.449551,48,60.416667,8.948158,0.186420,2.328698,1.117337,0.848645,1.030114,1.313682,1.035847,4,0.750000,0.512683,3.473579,sl:2;time_exit:46,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_5y_note_futures,ZF,competition_session_edge,best,True,5,1m,48,2.449551,48,8.948158,2.449551,48,60.416667,8.948158,0.186420,2.328698,1.117337,0.848645,1.030114,1.331347,1.085735,4,0.750000,0.512683,4.341974,sl:2;time_exit:46,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_eur_chf_ny_open_gap_fade_month_9_5044d21c,eur_chf,micro_ether_futures,MET,competition_session_edge,best,True,4,,40,1.754756,49,10.979029,2.419009,49,48.979592,33.968412,0.693233,5.590879,2.120079,1.186926,1.942290,1.427582,1.332362,3,1.000000,1.723396,3.774984,sl:17;sl_gap:6;time_exit:15;tp:8;tp_gap:3,competition_session_edge|family=ny_open_gap_fade_month_9|direction=fade|entry=570|exit=660|min_gap_atr=0.25|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,"execution_tf_1m_all_trades,quarter_pf_gt_1,rolling20_pf_p25_gt_1",competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,new_zealand_dollar_futures,6N,competition_session_edge,best,False,4,,43,2.365319,47,8.532723,2.365319,47,59.574468,8.532723,0.181547,2.677983,1.181126,0.940017,0.960615,1.117995,0.937246,4,0.750000,0.476616,3.773138,sl:1;time_exit:46,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,"execution_tf_1m_all_trades,quarter_pf_gt_1,rolling20_pf_p25_gt_1",competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,new_zealand_dollar_futures,6N,competition_session_edge,best,False,5,,43,2.365319,47,8.532723,2.365319,47,59.574468,8.532723,0.181547,2.677983,1.181126,0.940017,0.960615,1.310603,0.963696,4,0.750000,0.476616,4.716423,sl:1;time_exit:46,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,best,True,4,,44,2.346937,45,9.062682,2.346937,45,53.333333,9.062682,0.201393,1.931834,1.578979,1.242599,1.946129,1.207490,1.369224,4,1.000000,1.433010,3.339324,sl:1;time_exit:44,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_2y_note_futures,ZT,competition_session_edge,best,True,5,,44,2.346937,45,9.062682,2.346937,45,53.333333,9.062682,0.201393,1.931834,1.578979,1.242599,1.946129,1.199698,1.332836,4,1.000000,1.433010,4.174154,sl:1;time_exit:44,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,best,False,5,,53,2.032219,58,18.906985,2.320580,58,44.827586,20.769847,0.358101,3.676902,2.288804,1.158723,1.571776,1.326925,1.249033,4,1.000000,1.291103,4.843862,sl:25;sl_gap:1;time_exit:30;tp:2,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
