status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,crude_oil_futures,CL,competition_session_edge,direct,False,5,1m,106,1.422947,105,14.099653,2.201861,106,49.056604,54.196616,0.511289,6.381717,1.852070,1.255075,1.391021,1.426943,1.509606,5,1.000000,1.225115,4.847926,sl:32;sl_gap:10;time_exit:55;tp:6;tp_gap:3,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,gold_futures,GC,competition_session_edge,direct,False,5,1m,94,2.096973,90,21.519755,2.191311,94,52.127660,44.774811,0.476328,6.039543,1.950675,1.762273,1.616051,1.475184,1.384704,5,1.000000,1.713613,4.876358,sl:28;sl_gap:7;time_exit:53;tp:2;tp_gap:4,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,australian_dollar_futures,6A,competition_session_edge,direct,False,4,1m,52,2.310101,53,10.590692,2.176619,52,59.615385,9.511638,0.182916,1.430029,1.822231,1.285758,1.973273,1.030357,1.260934,4,1.000000,1.493472,3.532401,sl:4;time_exit:47;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,direct,False,4,1m,98,2.371486,95,58.822147,2.174736,98,48.979592,52.880966,0.539602,6.155778,1.748824,1.357922,2.156828,1.455318,1.538467,5,0.800000,0.478268,3.521259,sl:38;sl_gap:5;time_exit:44;tp:11,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_nzd_london_first30_last30_reversal_weekday_side_0_long_2e0ed4d2,aud_nzd,copper_futures,HG,competition_session_edge,direct,False,3,1m,76,2.383439,80,10.789932,2.149244,76,57.894737,10.307125,0.135620,2.056923,1.701612,1.266488,1.645322,1.292453,1.231609,5,1.000000,1.401931,2.895264,sl:3;time_exit:73,competition_session_edge|family=london_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=0_long|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_nzd_london_first30_last30_reversal_weekday_side_0_long_2e0ed4d2,aud_nzd,copper_futures,HG,competition_session_edge,direct,False,4,1m,76,2.383439,80,10.789932,2.149244,76,57.894737,10.307125,0.135620,2.056923,1.701612,1.266488,1.645322,1.298931,1.217259,5,1.000000,1.401931,3.860351,sl:3;time_exit:73,competition_session_edge|family=london_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=0_long|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_nzd_london_first30_last30_reversal_weekday_side_0_long_2e0ed4d2,aud_nzd,copper_futures,HG,competition_session_edge,direct,False,5,1m,76,2.383439,80,10.789932,2.149244,76,57.894737,10.307125,0.135620,2.056923,1.701612,1.266488,1.645322,1.313934,1.212621,5,1.000000,1.401931,4.825439,sl:3;time_exit:73,competition_session_edge|family=london_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=0_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_nzd_london_first30_last30_reversal_weekday_side_0_long_2e0ed4d2,aud_nzd,copper_futures,HG,competition_session_edge,direct,False,2.5,1m,76,2.383439,80,10.789932,2.149244,76,57.894737,10.307125,0.135620,2.056923,1.701612,1.266488,1.645322,1.276576,1.186991,5,1.000000,1.401931,2.415887,sl:3;time_exit:73,competition_session_edge|family=london_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=0_long|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,us_treasury_5y_note_futures,ZF,competition_session_edge,opposite,True,5,1m,126,1.801945,125,28.026416,2.068199,126,45.238095,65.277859,0.518078,11.433400,1.951971,1.858381,1.561837,1.478956,1.344871,5,1.000000,1.777414,4.285793,sl:46;sl_gap:12;time_exit:59;tp:7;tp_gap:2,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,dow_jones_futures,YM,competition_session_edge,opposite,True,3,1m,108,1.422425,106,12.958608,2.061145,108,54.629630,41.289547,0.382311,5.629928,1.463083,1.082539,1.135553,1.408358,1.279149,5,0.800000,0.914945,2.969681,sl:22;sl_gap:9;time_exit:61;tp:11;tp_gap:5,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
