strategy_id,asset_key,asset_name,market,symbol,phase,variant_id,side,signal_time,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,source,tp_mode,sl_mode,size_mode,size_multiplier
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-01-03T14:15:00Z,270477,270477,2022-01-03T14:30:00Z,2022-01-03T14:30:00Z,16383,16404,-84,-1,252,84,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,7.25
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-05-25T14:30:00Z,279742,279753,2022-05-25T14:45:00Z,2022-05-25T17:30:00Z,11888.75,11857.25,126,0.696132596685,543,181,0,max_bars,12,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-06-14T13:00:00Z,281008,281008,2022-06-14T13:15:00Z,2022-06-14T13:15:00Z,11384.25,11410.5,-105,-1,315,105,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,5.75
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-09-15T12:45:00Z,287123,287126,2022-09-15T13:00:00Z,2022-09-15T13:45:00Z,12181.5,12207.5,-104,-1,312,104,0,sl,4,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,6
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-09-23T14:45:00Z,287683,287684,2022-09-23T15:00:00Z,2022-09-23T15:15:00Z,11378.25,11423,-179,-1,537,179,0,sl,2,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-09-29T13:15:00Z,288045,288045,2022-09-29T13:30:00Z,2022-09-29T13:30:00Z,11387,11287.25,399,3,399,133,0,tp,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,4.75
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-10-31T13:30:00Z,290070,290081,2022-10-31T13:45:00Z,2022-10-31T16:30:00Z,11473.25,11439,137,0.643192488263,639,213,0,max_bars,12,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-11-14T13:30:00Z,290986,290990,2022-11-14T13:45:00Z,2022-11-14T14:45:00Z,11781.75,11715,267,3,267,89,0,tp,5,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,6.75
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-12-27T15:45:00Z,293724,293735,2022-12-27T16:00:00Z,2022-12-27T18:45:00Z,10972.75,10918.5,217,1.107142857143,588,196,0,max_bars,12,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.25
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2022-12-29T14:15:00Z,293902,293902,2022-12-29T14:30:00Z,2022-12-29T14:30:00Z,10885.5,10905.75,-81,-1,243,81,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,7.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2023-01-16T13:45:00Z,294912,294914,2023-01-16T14:00:00Z,2023-01-16T14:30:00Z,11587.5,11604,-66,-1,198,66,0,sl,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,9.25
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2023-01-19T14:00:00Z,295173,295173,2023-01-19T14:15:00Z,2023-01-19T14:15:00Z,11383.75,11404,-81,-1,243,81,0,sl,1,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,7.5
nasdaq_100_futures_round_hundred_rejection_15m,nasdaq_100_futures,Nasdaq 100 Futures,futures,NQ,round_number_rejection,round_number_rejection|pre_ny|tf=15m|model=stump|min=0.70|step=100|touch=12|sweep=36|reclaim=10|prev_max=13.5|wick=0.38|atr_min=0.15|atr_max=3.5|risk_min=8|risk_max=60|stop=4|rr=3.0|trend=short_only|max_bars=12|one_trade=1,short,2023-02-03T14:00:00Z,296185,296186,2023-02-03T14:15:00Z,2023-02-03T14:30:00Z,12572.5,12615.75,-173,-1,519,173,0,sl,2,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
