market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,0.0,0.15,94,73,21,77.6595744680851,1.6319887428654414,3.825722340425554
forex,AUDUSD,mean_reversion,0.0001,2.0,6,0.75,-0.1,0.25,73,59,14,80.82191780821918,1.6301916357326913,3.5579178082191656
forex,AUDUSD,mean_reversion,0.0001,1.5,16,,0.0,0.15,112,89,23,79.46428571428571,1.6274478184543206,5.009580357142874
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.5,0.0,0.15,84,66,18,78.57142857142857,1.6268435774103396,3.5590238095238527
forex,AUDUSD,mean_reversion,0.0001,2.0,10,0.75,-0.1,0.25,72,58,14,80.55555555555556,1.6192728076511573,3.5448319444444314
forex,AUDUSD,mean_reversion,0.0001,1.5,16,0.75,-0.05,0.15,63,53,10,84.12698412698413,1.6189299440903764,3.2989142857143774
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,,,119,92,27,77.31092436974791,1.6149940739572783,3.224973109243727
forex,AUDUSD,mean_reversion,0.0001,2.0,24,2.0,0.0,0.15,68,54,14,79.41176470588235,1.6121265954417647,3.781145588235262
forex,AUDUSD,mean_reversion,0.0001,3.0,24,0.75,-0.2,0.4,45,35,10,77.77777777777779,1.6073118557176196,3.659188888888807
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.0,-0.1,0.1,72,59,13,81.94444444444444,1.6062287438038292,3.320412500000057
forex,AUDUSD,mean_reversion,0.0001,1.5,6,,0.0,0.15,119,95,24,79.83193277310924,1.6042463331069485,4.7198579831933
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,-0.1,0.25,88,69,19,78.4090909090909,1.594411689007103,3.424895454545516
forex,AUDUSD,mean_reversion,0.0001,1.5,10,,-0.05,0.15,164,132,32,80.48780487804879,1.5914916715022434,4.71693292682926
forex,AUDUSD,mean_reversion,0.0001,2.0,24,0.75,-0.1,0.25,62,50,12,80.64516129032258,1.5827968605410634,3.3430064516128892
forex,AUDUSD,mean_reversion,0.0001,2.0,24,1.0,-0.05,0.15,51,42,9,82.35294117647058,1.5786430937284208,3.150092156862684
forex,AUDUSD,mean_reversion,0.0001,2.0,6,1.5,-0.1,0.1,59,47,12,79.66101694915254,1.5776801004301135,4.121205084745758
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,-0.2,0.4,117,90,27,76.92307692307693,1.5760483711234836,3.0723820512820863
forex,AUDUSD,mean_reversion,0.0001,2.0,10,1.5,-0.1,0.1,58,46,12,79.3103448275862,1.5669887310719426,4.114672413793099
forex,AUDUSD,mean_reversion,0.0001,1.5,6,0.75,,,111,87,24,78.37837837837837,1.5643144744133461,2.992708108108145
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,0.0,0.15,46,39,7,84.78260869565217,1.5632123165619731,3.357154347826155
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.0,0.0,0.15,72,59,13,81.94444444444444,1.560443523595784,3.114462500000045
forex,AUDUSD,mean_reversion,0.0001,1.5,6,0.75,0.0,0.15,67,55,12,82.08955223880598,1.5575373118058415,3.1298164179105137
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.5,-0.1,0.25,141,109,32,77.30496453900709,1.5554800706152803,3.426577304964572
forex,AUDUSD,mean_reversion,0.0001,1.5,6,0.75,-0.2,0.4,110,86,24,78.18181818181819,1.554971764791427,2.969917272727309
forex,AUDUSD,mean_reversion,0.0001,1.5,24,2.0,-0.1,0.25,140,107,33,76.42857142857142,1.5521063293508932,3.834080714285759
forex,AUDUSD,mean_reversion,0.0001,2.0,6,1.0,-0.05,0.15,63,51,12,80.95238095238095,1.5514973728194938,3.1351365079364713
forex,AUDUSD,mean_reversion,0.0001,2.0,16,,-0.05,0.15,121,95,26,78.51239669421489,1.5491832343597012,5.0124008264462905
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.0,,,133,101,32,75.93984962406014,1.5481555930201796,2.909878195488747
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,,,103,78,25,75.72815533980582,1.5481345100332173,3.275719417475759
forex,AUDUSD,mean_reversion,0.0001,2.0,16,2.0,-0.05,0.15,85,65,20,76.47058823529412,1.547166631693156,3.380584705882342
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,-0.05,0.15,77,63,14,81.81818181818183,1.544915189686901,2.9823753246753824
forex,AUDUSD,mean_reversion,0.0001,1.5,24,2.0,,,166,124,42,74.69879518072288,1.5430003861310841,3.699478313253054
forex,AUDUSD,mean_reversion,0.0001,1.5,24,2.0,-0.1,0.1,80,66,14,82.5,1.540366822609381,4.027385000000008
forex,AUDUSD,mean_reversion,0.0001,2.0,10,1.0,-0.05,0.15,62,50,12,80.64516129032258,1.5389321959029423,3.1131209677419
forex,AUDUSD,mean_reversion,0.0001,3.0,16,3.0,-0.1,0.1,30,25,5,83.33333333333334,1.5357382614202215,4.128513333333341
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.0,,,139,106,33,76.2589928057554,1.535408853843622,2.9063410071942664
