dataset,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,trades_per_month,active_days,trades_per_active_day,active_weeks,trades_per_active_week,base_trades,base_win_rate_pct,market,symbol
momentum,79,74,5,93.67088607594937,93.38178294573642,87.9678216590673,28.222638241884336,2.5129588590725995,0.10942933410287857,0.76600533872015,3.3307553567563666,70,1.1285714285714286,48,1.6458333333333333,387,70.54263565891473,futures,SI
momentum,96,88,8,91.66666666666666,91.40372800166615,85.85389311614833,52.820183670963274,2.5389121786567745,0.1315030963728204,0.9205216746097429,4.002625495847721,87,1.103448275862069,63,1.5238095238095237,396,66.16161616161617,futures,YM
momentum,79,78,1,98.73417721518987,98.36842105263158,95.60946070614317,inf,2.635981956251588,0.10991782251402235,0.7694247575981564,3.345623722770555,76,1.0394736842105263,52,1.5192307692307692,380,69.47368421052632,futures,ZB
momentum,56,52,4,92.85714285714286,92.50762233218374,85.73213302431402,34.20402508651715,2.3682399265765404,0.07831597348677981,0.5482118144074587,2.38374244300386,54,1.037037037037037,38,1.4736842105263157,351,72.93447293447294,futures,ZN
momentum,86,85,1,98.83720930232558,98.53984491008086,96.03361928681669,234.35536221340507,2.3962345459600005,0.1179731931067989,0.8258123517475923,3.5908090651881914,73,1.178082191780822,52,1.6538461538461537,418,72.96650717703349,gold_spot,XAUUSD
mean_reversion,75,75,0,100.0,99.64223246939102,98.3086100274658,inf,5.040950225768913,0.10278812797121932,0.7195168957985353,3.128613645123988,73,1.0273972602739727,51,1.4705882352941178,331,72.80966767371602,forex,AUDUSD
mean_reversion,50,50,0,100.0,99.44914420617746,97.43739478301917,inf,4.917526093440672,0.06934011325551831,0.48538079278862817,2.1105396972148385,50,1.0,39,1.2820512820512822,299,71.90635451505017,forex,EURUSD
mean_reversion,55,55,0,100.0,99.52008928571429,97.72595789440336,inf,4.924433467948062,0.0754932799542465,0.5284529596797255,2.297826708607378,55,1.0,46,1.1956521739130435,320,73.125,forex,GBPUSD
mean_reversion,55,55,0,100.0,99.43580192813322,97.49131139712951,inf,5.3974525208815365,0.0755343194758376,0.5287402363308632,2.2990758490458068,52,1.0576923076923077,41,1.3414634146341464,326,68.40490797546013,forex,NZDUSD
mean_reversion,35,35,0,100.0,98.95564168819982,95.67997086225525,inf,4.743543312950439,0.048601267104463795,0.3402088697312466,1.4793010674921168,35,1.0,29,1.206896551724138,258,62.4031007751938,forex,USDCAD
mean_reversion,33,33,0,100.0,99.06464352525461,95.87553008262071,inf,5.441847297532974,0.0457004370969836,0.31990305967888516,1.3910070541394381,33,1.0,30,1.1,283,68.19787985865725,forex,USDCHF
mean_reversion,55,55,0,100.0,99.44601603017445,97.51910821924442,inf,5.441793970564699,0.07548356659852179,0.5283849661896525,2.297531058342507,53,1.0377358490566038,43,1.2790697674418605,303,68.97689768976898,forex,USDJPY
mean_reversion,73,72,1,98.63013698630137,98.27010745685445,95.31926707260216,2795.1054587626727,5.352947360599227,0.10004711122532015,0.700329778577241,3.045183947920682,69,1.0579710144927537,48,1.5208333333333333,332,71.98795180722891,futures,6A
mean_reversion,50,50,0,100.0,99.4956181829645,97.57015114729157,inf,5.376245295822223,0.0686224052153028,0.4803568365071196,2.088694458740779,50,1.0,40,1.25,311,74.27652733118971,futures,6B
mean_reversion,48,48,0,100.0,99.28502013050118,96.94962784956944,inf,4.9359461378257095,0.06667534835265009,0.4667274384685506,2.029430915483787,48,1.0,39,1.2307692307692308,294,64.96598639455783,futures,6C
mean_reversion,58,58,0,100.0,99.48290721057167,97.66806479339138,inf,5.307362465394011,0.0803613953555501,0.5625297674888506,2.445999971134556,57,1.0175438596491229,42,1.380952380952381,295,69.49152542372882,futures,6E
mean_reversion,60,60,0,100.0,99.52475036044216,97.81281771730033,inf,5.507980425111605,0.08234570901656922,0.5764199631159845,2.5063975181918257,60,1.0,43,1.3953488372093024,307,71.00977198697068,futures,6J
