market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,chosen_size_multiplier
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,48469,48470,48486,2020-11-25 14:30:00+00:00,2020-11-25 14:45:00+00:00,2020-11-25 18:45:00+00:00,1813.6,1804.2,-93.99999999999864,-96.99999999999864,-1.0,140.9999999999991,93.99999999999864,3.0,sl,16,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,48561,48562,48575,2020-11-26 14:30:00+00:00,2020-11-26 14:45:00+00:00,2020-11-26 23:00:00+00:00,1806.5,1807.0,-5.0,-8.0,-0.11594202898550877,98.99999999999864,65.99999999999909,3.0,session_close,13,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,48809,48810,48818,2020-12-01 14:45:00+00:00,2020-12-01 15:00:00+00:00,2020-12-01 17:00:00+00:00,1812.6,1818.5,-59.00000000000091,-62.00000000000091,-1.0,88.50000000000136,59.00000000000091,3.0,sl,8,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,48992,48993,49018,2020-12-03 14:30:00+00:00,2020-12-03 14:45:00+00:00,2020-12-03 21:00:00+00:00,1839.0,1845.1,-60.99999999999909,-63.99999999999909,-0.7356321839080279,126.00000000000136,84.00000000000091,3.0,session_close,25,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,49734,49735,49754,2020-12-15 16:00:00+00:00,2020-12-15 16:15:00+00:00,2020-12-15 21:00:00+00:00,1850.6,1857.5,-69.00000000000091,-72.00000000000091,-0.800000000000006,130.50000000000182,87.00000000000045,3.0,session_close,19,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,50100,50101,50102,2020-12-21 15:30:00+00:00,2020-12-21 15:45:00+00:00,2020-12-21 16:00:00+00:00,1886.4,1879.5000000000002,68.99999999999864,65.99999999999864,1.3469387755102011,68.99999999999864,45.99999999999909,3.0,tp,1,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,50190,50191,50214,2020-12-22 15:00:00+00:00,2020-12-22 15:15:00+00:00,2020-12-22 21:00:00+00:00,1874.8,1866.1,87.00000000000045,84.00000000000045,0.688524590163933,178.50000000000136,119.00000000000091,3.0,session_close,23,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,50373,50374,50389,2020-12-24 14:45:00+00:00,2020-12-24 15:00:00+00:00,2020-12-27 23:00:00+00:00,1880.6,1891.1,105.0,102.0,1.3076923076923077,112.5,75.0,3.0,session_close,15,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,50645,50646,50647,2020-12-30 17:00:00+00:00,2020-12-30 17:15:00+00:00,2020-12-30 17:30:00+00:00,1889.2,1892.2,-30.0,-33.0,-1.0,45.0,30.0,3.0,sl,1,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,50728,50729,50731,2020-12-31 14:45:00+00:00,2020-12-31 15:00:00+00:00,2020-12-31 15:30:00+00:00,1896.8,1904.0,-72.00000000000045,-75.00000000000045,-1.0,107.99999999999955,72.00000000000045,3.0,sl,2,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,short,50911,50912,50930,2021-01-05 14:30:00+00:00,2021-01-05 14:45:00+00:00,2021-01-05 19:15:00+00:00,1948.1,1956.0,-79.00000000000091,-82.00000000000091,-1.0,118.50000000000136,79.00000000000091,3.0,sl,18,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,51377,51378,51397,2021-01-12 16:00:00+00:00,2021-01-12 16:15:00+00:00,2021-01-12 21:00:00+00:00,1844.9,1856.0,110.99999999999909,107.99999999999909,1.1489361702127396,136.5000000000009,91.00000000000136,3.0,session_close,19,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,51463,51464,51464,2021-01-13 14:30:00+00:00,2021-01-13 14:45:00+00:00,2021-01-13 14:45:00+00:00,1852.6,1857.3999999999996,47.99999999999727,44.99999999999727,1.2857142857142745,47.99999999999727,31.99999999999818,3.0,tp,1,2
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,51558,51559,51568,2021-01-14 15:15:00+00:00,2021-01-14 15:30:00+00:00,2021-01-14 17:45:00+00:00,1843.7,1854.8000000000002,111.00000000000136,108.00000000000136,1.4025974025974037,111.00000000000136,74.00000000000091,3.0,tp,9,2
