market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,20,20,113,78,35,69.02654867256636,1.3540469103324835,2.1330840707964853,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,20,50,113,92,21,81.41592920353983,1.3233086898093562,2.3455893805309875,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,20,100,113,95,18,84.070796460177,2.267128687788829,5.524149557522133,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,20,200,113,95,18,84.070796460177,2.1336664201597424,5.2514548672566415,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,1,113,15,98,13.274336283185843,1.5937561224489893,0.5149389380531056,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,2,113,19,94,16.8141592920354,1.0281079787234135,0.04676371681417471,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,3,113,29,84,25.663716814159294,1.2153507936508,0.48025132743364196,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,4,113,32,81,28.31858407079646,1.064897839506178,0.18607876106196172,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,5,113,41,72,36.283185840707965,1.2943219444444543,0.9376628318584381,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,8,113,53,60,46.902654867256636,1.2434845323539445,1.0187769911504623,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,10,113,58,55,51.32743362831859,1.1705632020147627,0.8163026548672809,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,20,113,77,36,68.14159292035397,1.3286803332432042,2.0384274336283474,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,50,113,91,22,80.53097345132744,1.3428894966868496,2.505227433628338,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,100,113,94,19,83.1858407079646,2.3186864976199066,5.81653008849559,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,50,200,113,94,19,83.1858407079646,2.1836833410582344,5.5438353982301,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,1,113,15,98,13.274336283185843,1.5937561224489893,0.5149389380531056,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,2,113,19,94,16.8141592920354,1.0281079787234135,0.04676371681417471,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,3,113,29,84,25.663716814159294,1.2153507936508,0.48025132743364196,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,4,113,32,81,28.31858407079646,1.064897839506178,0.18607876106196172,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,5,113,41,72,36.283185840707965,1.2943219444444543,0.9376628318584381,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,8,113,53,60,46.902654867256636,1.2434845323539445,1.0187769911504623,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,10,113,58,55,51.32743362831859,1.1705632020147627,0.8163026548672809,113,83.1858407079646,2.350209907333294,5.875692920354001
