market,symbol,phase,before_trades,before_win_rate_pct,before_profit_factor,before_avg_pips,after_trades,after_win_rate_pct,after_profit_factor,after_avg_pips
futures,RTY,mean_reversion,305.0,71.47540983606558,1.2097135356343145,17.809836065573812,37.0,89.1891891891892,0.874023437500002,-10.459459459459287
futures,RTY,momentum,393.0,67.43002544529261,1.1753003899100802,11.211195928753085,94.0,73.40425531914893,1.2346993081426272,14.07446808510633
futures,SI,mean_reversion,288.0,69.44444444444444,0.8529253478895967,-6.642361111111166,41.0,85.36585365853658,1.8547579298831307,12.487804878048701
futures,SI,momentum,388.0,70.36082474226805,0.9869398607961227,-0.4304123711339556,82.0,79.26829268292683,1.4061196105702423,10.682926829268414
futures,YM,mean_reversion,267.0,72.28464419475655,1.1117823916496483,14.760299625468164,37.0,86.48648648648648,1.497175141242938,38.054054054054056
futures,YM,momentum,396.0,66.16161616161617,1.0035228086935755,0.29797979797979796,63.0,74.60317460317461,1.4528516246307657,31.634920634920636
futures,ZB,mean_reversion,298.0,66.10738255033557,0.990990990990991,-0.07046979865771812,39.0,74.35897435897436,1.3404255319148937,1.641025641025641
futures,ZB,momentum,380.0,69.47368421052632,1.1906354515050168,1.05,67.0,71.64179104477611,1.1666666666666667,0.9253731343283582
futures,ZN,mean_reversion,289.0,68.85813148788927,1.098274209012464,0.7093425605536332,37.0,94.5945945945946,31.88888888888889,7.513513513513513
futures,ZN,momentum,351.0,72.93447293447294,1.3143164693218514,1.6638176638176638,71.0,84.50704225352112,3.1313131313131315,5.943661971830986
gold_spot,XAUUSD,mean_reversion,285.0,71.2280701754386,0.75475869251343,-272.66315789473936,53.0,90.56603773584906,1.416996546786824,233.53773584905466
gold_spot,XAUUSD,momentum,418.0,72.96650717703349,1.1769213724642957,114.61076555023782,93.0,83.87096774193549,0.8471212242759979,-174.17741935484122
