market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,strategy,variant_id,period,source
futures,ZN,mean_reversion,short,9765,9766,9839,2024-03-28 17:15:00+00:00,2024-03-28 17:30:00+00:00,2024-04-01 12:45:00+00:00,110.734375,110.5,15.0,12.0,0.2264150943396226,15.0,50.0,3.0,tp,73,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,long,9907,9908,9927,2024-04-02 04:30:00+00:00,2024-04-02 04:45:00+00:00,2024-04-02 09:30:00+00:00,2276.7,2286.502365826301,98.0236582630139,95.0236582630139,1.8269624400779223,98.0236582630139,49.01182913150695,3.0,tp,19,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ES,mean_reversion,long,10055,10056,10068,2024-04-03 20:15:00+00:00,2024-04-03 20:30:00+00:00,2024-04-04 00:30:00+00:00,5270.5,5276.75,25.0,22.0,0.0437375745526839,500.0,500.0,3.0,signal,12,mean_reversion,legacy_ES_mean_reversion,train,core
futures,GC,,short,10120,10121,10129,2024-04-04 11:45:00+00:00,2024-04-04 12:00:00+00:00,2024-04-04 14:00:00+00:00,2308.6,2313.25724692139,-46.572469213901215,-49.572469213901215,-1.0,93.14493842780244,46.572469213901215,3.0,sl,8,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,YM,mean_reversion,short,10121,10122,10139,2024-04-04 14:00:00+00:00,2024-04-04 14:15:00+00:00,2024-04-04 18:30:00+00:00,39619.0,39229.0,390.0,387.0,0.7693836978131213,500.0,500.0,3.0,signal,17,mean_reversion,legacy_YM_mean_reversion,train,core
futures,ES,mean_reversion,short,10252,10253,10403,2024-04-08 00:30:00+00:00,2024-04-08 00:45:00+00:00,2024-04-09 15:15:00+00:00,5249.75,5221.75,112.0,109.0,0.2166998011928429,500.0,500.0,3.0,signal,150,mean_reversion,legacy_ES_mean_reversion,train,core
futures,GC,,long,10679,10680,10681,2024-04-12 13:30:00+00:00,2024-04-12 13:45:00+00:00,2024-04-12 14:00:00+00:00,2420.1,2432.3898760547804,122.89876054780564,119.89876054780564,1.860355523020532,122.89876054780564,61.44938027390282,3.0,tp,1,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,11034,11035,11047,2024-04-18 10:15:00+00:00,2024-04-18 10:30:00+00:00,2024-04-18 13:30:00+00:00,2396.7,2390.975529168658,-57.24470831341929,-60.24470831341929,-1.0,114.48941662683858,57.24470831341929,3.0,sl,12,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,YM,mean_reversion,short,11049,11050,11058,2024-04-18 16:00:00+00:00,2024-04-18 16:15:00+00:00,2024-04-18 18:15:00+00:00,38160.0,37937.0,223.0,220.0,0.4373757455268389,500.0,500.0,3.0,signal,8,mean_reversion,legacy_YM_mean_reversion,train,core
futures,ES,mean_reversion,long,11234,11235,11244,2024-04-22 16:00:00+00:00,2024-04-22 16:15:00+00:00,2024-04-22 18:30:00+00:00,5030.5,5073.5,172.0,169.0,0.3359840954274354,500.0,500.0,3.0,signal,9,mean_reversion,legacy_ES_mean_reversion,train,core
futures,GC,,short,11804,11805,11867,2024-04-30 18:45:00+00:00,2024-04-30 19:00:00+00:00,2024-05-01 11:30:00+00:00,2301.0,2306.4175060223,-54.17506022300027,-57.17506022300027,-1.0,108.35012044600056,54.17506022300027,3.0,sl,62,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,short,12049,12050,12055,2024-05-03 11:00:00+00:00,2024-05-03 11:15:00+00:00,2024-05-03 12:30:00+00:00,2305.6,2310.3842709914584,-47.84270991458349,-50.84270991458349,-1.0,95.685419829167,47.84270991458349,3.0,sl,5,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,12126,12127,12148,2024-05-06 07:15:00+00:00,2024-05-06 07:30:00+00:00,2024-05-06 12:45:00+00:00,2325.3,2336.3532754458915,110.53275445891528,107.53275445891528,1.8455369901485847,110.53275445891528,55.266377229457646,3.0,tp,21,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,short,12562,12563,12584,2024-05-13 01:15:00+00:00,2024-05-13 01:30:00+00:00,2024-05-13 06:45:00+00:00,2362.7,2353.2886843502747,94.11315649725228,91.11315649725228,1.8202034514764895,94.11315649725228,47.05657824862614,3.0,tp,21,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,12755,12756,12760,2024-05-15 03:30:00+00:00,2024-05-15 03:45:00+00:00,2024-05-15 04:45:00+00:00,2366.0,2362.061244510186,-39.38755489813832,-42.38755489813832,-1.0,78.77510979627664,39.38755489813832,3.0,sl,4,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,12769,12770,12775,2024-05-15 07:00:00+00:00,2024-05-15 07:15:00+00:00,2024-05-15 08:30:00+00:00,2367.6,2375.222019786515,76.22019786514822,73.22019786514822,1.781075691042214,76.22019786514822,38.11009893257411,3.0,tp,5,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ES,mean_reversion,short,12972,12973,13268,2024-05-17 13:30:00+00:00,2024-05-17 13:45:00+00:00,2024-05-22 18:30:00+00:00,5318.0,5308.75,37.0,34.0,0.0675944333996023,500.0,500.0,3.0,signal,295,mean_reversion,legacy_ES_mean_reversion,train,core
futures,GC,,short,13234,13235,13235,2024-05-22 08:15:00+00:00,2024-05-22 08:30:00+00:00,2024-05-22 08:30:00+00:00,2414.2,2419.489643076782,-52.896430767824015,-55.896430767824015,-1.0,105.79286153564804,52.896430767824015,3.0,sl,0,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,short,13297,13298,13316,2024-05-23 01:00:00+00:00,2024-05-23 01:15:00+00:00,2024-05-23 05:45:00+00:00,2377.0,2366.023574961924,109.76425038076012,106.76425038076012,1.844511583318717,109.76425038076012,54.88212519038006,3.0,tp,18,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ZN,mean_reversion,long,13321,13322,13577,2024-05-23 09:15:00+00:00,2024-05-23 09:30:00+00:00,2024-05-28 08:15:00+00:00,109.09375,108.875,-14.0,-17.0,-0.320754716981132,15.0,50.0,3.0,signal,255,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,long,13426,13427,13431,2024-05-24 10:15:00+00:00,2024-05-24 10:30:00+00:00,2024-05-24 11:30:00+00:00,2345.2,2339.8907692632256,-53.09230736774284,-56.09230736774284,-1.0,106.18461473548568,53.09230736774284,3.0,sl,4,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,13438,13439,13440,2024-05-24 13:15:00+00:00,2024-05-24 13:30:00+00:00,2024-05-24 13:45:00+00:00,2346.1,2340.760749865655,-53.39250134344968,-56.39250134344968,-1.0,106.78500268689936,53.39250134344968,3.0,sl,1,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ES,mean_reversion,short,13468,13469,13620,2024-05-26 23:30:00+00:00,2024-05-26 23:45:00+00:00,2024-05-28 18:30:00+00:00,5315.75,5308.75,28.0,25.0,0.0497017892644135,500.0,500.0,3.0,signal,151,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ES,mean_reversion,long,13625,13626,13908,2024-05-28 19:45:00+00:00,2024-05-28 20:00:00+00:00,2024-06-02 22:30:00+00:00,5325.5,5298.5,-108.0,-111.0,-0.220675944333996,500.0,500.0,3.0,signal,282,mean_reversion,legacy_ES_mean_reversion,train,core
futures,GC,,short,13744,13745,13747,2024-05-30 00:30:00+00:00,2024-05-30 00:45:00+00:00,2024-05-30 01:15:00+00:00,2335.0,2339.063204892188,-40.632048921879054,-43.632048921879054,-1.0,81.26409784375811,40.632048921879054,3.0,sl,2,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,YM,mean_reversion,long,14051,14052,14064,2024-06-04 11:30:00+00:00,2024-06-04 11:45:00+00:00,2024-06-04 14:45:00+00:00,38545.0,38742.0,197.0,194.0,0.3856858846918489,500.0,500.0,3.0,signal,12,mean_reversion,legacy_YM_mean_reversion,train,core
futures,ES,mean_reversion,long,14073,14074,14080,2024-06-04 16:45:00+00:00,2024-06-04 17:00:00+00:00,2024-06-04 18:30:00+00:00,5285.0,5310.0,100.0,97.0,0.1928429423459244,500.0,500.0,3.0,signal,6,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ES,mean_reversion,long,14433,14434,14441,2024-06-10 14:45:00+00:00,2024-06-10 15:00:00+00:00,2024-06-10 16:45:00+00:00,5352.75,5366.25,54.0,51.0,0.1013916500994035,500.0,500.0,3.0,signal,7,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ES,mean_reversion,long,14525,14526,14540,2024-06-11 14:45:00+00:00,2024-06-11 15:00:00+00:00,2024-06-11 18:30:00+00:00,5361.25,5376.75,62.0,59.0,0.1172962226640159,500.0,500.0,3.0,signal,14,mean_reversion,legacy_ES_mean_reversion,train,core
futures,YM,mean_reversion,long,14891,14892,14901,2024-06-17 14:30:00+00:00,2024-06-17 14:45:00+00:00,2024-06-17 17:00:00+00:00,38565.0,38712.0,147.0,144.0,0.2862823061630218,500.0,500.0,3.0,signal,9,mean_reversion,legacy_YM_mean_reversion,train,core
futures,ES,mean_reversion,long,15238,15239,15338,2024-06-21 13:00:00+00:00,2024-06-21 13:15:00+00:00,2024-06-24 15:00:00+00:00,5541.5,5548.5,28.0,25.0,0.0497017892644135,500.0,500.0,3.0,signal,99,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ZN,mean_reversion,short,15237,15238,15248,2024-06-21 13:45:00+00:00,2024-06-21 14:00:00+00:00,2024-06-21 16:30:00+00:00,110.546875,110.453125,6.0,3.0,0.0566037735849056,15.0,50.0,3.0,signal,10,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,ZN,mean_reversion,long,15327,15328,15357,2024-06-24 13:15:00+00:00,2024-06-24 13:30:00+00:00,2024-06-24 20:45:00+00:00,110.515625,110.640625,8.0,5.0,0.0943396226415094,15.0,50.0,3.0,signal,29,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,ES,mean_reversion,short,15345,15346,15351,2024-06-24 16:45:00+00:00,2024-06-24 17:00:00+00:00,2024-06-24 18:15:00+00:00,5539.75,5524.5,61.0,58.0,0.1153081510934393,500.0,500.0,3.0,signal,5,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ZN,mean_reversion,short,15417,15418,15431,2024-06-25 12:45:00+00:00,2024-06-25 13:00:00+00:00,2024-06-25 16:15:00+00:00,110.53125,110.46875,4.0,1.0,0.0188679245283018,15.0,50.0,3.0,signal,13,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,ES,mean_reversion,long,15430,15431,15454,2024-06-25 15:00:00+00:00,2024-06-25 15:15:00+00:00,2024-06-25 22:00:00+00:00,5528.75,5535.0,25.0,22.0,0.0437375745526839,500.0,500.0,3.0,signal,23,mean_reversion,legacy_ES_mean_reversion,train,core
futures,ZN,mean_reversion,long,15436,15437,15445,2024-06-25 17:30:00+00:00,2024-06-25 17:45:00+00:00,2024-06-25 19:45:00+00:00,110.5625,110.625,4.0,1.0,0.0188679245283018,15.0,50.0,3.0,signal,8,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,short,15481,15482,15484,2024-06-26 01:30:00+00:00,2024-06-26 01:45:00+00:00,2024-06-26 02:15:00+00:00,2326.0,2329.9519724769534,-39.51972476953486,-42.51972476953486,-1.0,79.03944953906972,39.51972476953486,3.0,sl,2,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ZN,mean_reversion,short,15700,15701,15702,2024-06-28 14:30:00+00:00,2024-06-28 14:45:00+00:00,2024-06-28 15:00:00+00:00,110.25,110.015625,15.0,12.0,0.2264150943396226,15.0,50.0,3.0,tp,1,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,short,15751,15752,15755,2024-07-01 00:00:00+00:00,2024-07-01 00:15:00+00:00,2024-07-01 01:00:00+00:00,2332.8,2336.6003237513446,-38.0032375134439,-41.0032375134439,-1.0,76.0064750268878,38.0032375134439,3.0,sl,3,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,ZN,mean_reversion,long,16336,16337,16344,2024-07-09 16:30:00+00:00,2024-07-09 16:45:00+00:00,2024-07-09 18:30:00+00:00,110.34375,110.4375,6.0,3.0,0.0566037735849056,15.0,50.0,3.0,signal,7,mean_reversion,legacy_ZN_mean_reversion,train,core
futures,GC,,long,16412,16413,16434,2024-07-10 06:45:00+00:00,2024-07-10 07:00:00+00:00,2024-07-10 12:15:00+00:00,2378.4,2385.75146119125,73.5146119125007,70.5146119125007,1.7736265125734687,73.5146119125007,36.75730595625035,3.0,tp,21,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,16509,16510,16510,2024-07-11 08:00:00+00:00,2024-07-11 08:15:00+00:00,2024-07-11 08:15:00+00:00,2388.6,2385.300454417684,-32.99545582316697,-35.99545582316697,-1.0,65.99091164633394,32.99545582316697,3.0,sl,0,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,short,16595,16596,16619,2024-07-12 06:30:00+00:00,2024-07-12 06:45:00+00:00,2024-07-12 12:30:00+00:00,2410.2,2401.81722413692,83.82775863080363,80.82775863080363,1.7996165074764825,83.82775863080363,41.913879315401815,3.0,tp,23,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
futures,GC,,long,16847,16848,16853,2024-07-17 00:30:00+00:00,2024-07-17 00:45:00+00:00,2024-07-17 02:00:00+00:00,2477.2,2486.225581508712,90.25581508712168,87.25581508712168,1.8129983109726089,90.25581508712168,45.12790754356084,3.0,tp,5,squeeze_breakout,strategy=squeeze_breakout|lookback=55|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,train,new_gc_squeeze
