market,symbol,phase,pip_or_tick_size,baseline_trades,baseline_wins,baseline_losses,baseline_win_rate_pct,baseline_profit_factor,baseline_avg_pips,best_unit_size_pips_or_ticks,unit_trades,unit_win_rate_pct,unit_profit_factor,unit_avg_pips,win_rate_delta_pct,profit_factor_delta,avg_pips_delta
futures,6A,mean_reversion,5e-05,59,46,13,77.96610169491525,1.1422637590861895,2.322033898305093,200,59,77.96610169491525,1.3142174432497014,4.457627118644073,0.0,0.17195368416351187,2.1355932203389796
futures,6A,momentum,5e-05,91,69,22,75.82417582417582,1.104960835509137,2.2087912087911854,100,91,73.62637362637363,1.1669545192861204,3.186813186813095,-2.19780219780219,0.061993683776983444,0.9780219780219097
futures,6B,mean_reversion,0.0001,54,47,7,87.03703703703704,1.7649006622516636,8.555555555555642,100,54,87.03703703703704,2.6451612903225947,12.277777777777871,0.0,0.8802606280709311,3.7222222222222285
futures,6B,momentum,0.0001,98,80,18,81.63265306122449,0.7339825730394656,-5.2959183673469665,7,98,63.26530612244898,1.7222222222222223,1.8571428571428572,-18.367346938775505,0.9882396491827568,7.153061224489823
futures,6C,mean_reversion,5e-05,50,35,15,70.0,0.8065902578796598,-2.6999999999999686,200,50,70.0,1.1536885245901687,1.5000000000000597,0.0,0.3470982667105089,4.200000000000029
futures,6C,momentum,5e-05,74,62,12,83.78378378378379,2.6373333333333218,8.297297297297252,100,74,83.78378378378379,2.4480198019801946,7.905405405405378,0.0,-0.18931353135312712,-0.39189189189187434
futures,6E,mean_reversion,5e-05,53,43,10,81.13207547169812,1.212783851976447,4.7735849056603135,100,53,75.47169811320755,1.2034203420342016,4.264150943396193,-5.660377358490564,-0.00936350994224533,-0.5094339622641204
futures,6E,momentum,5e-05,79,63,16,79.74683544303798,0.858250753985355,-4.1645569620252205,17,79,53.16455696202531,1.1287758346581889,1.0253164556962127,-26.582278481012672,0.2705250806728339,5.189873417721433
futures,6J,mean_reversion,5e-07,57,46,11,80.7017543859649,1.368041237113407,6.263157894736927,200,57,80.7017543859649,1.3048180924287147,5.438596491228128,0.0,-0.06322314468469226,-0.8245614035087989
futures,6J,momentum,5e-07,64,52,12,81.25,1.5466794995187705,8.875000000000039,200,64,81.25,1.4609090909090912,7.921875000000014,0.0,-0.08577040860967933,-0.9531250000000249
futures,CL,mean_reversion,0.01,45,34,11,75.55555555555556,0.7290589451913142,-11.644444444444401,34,45,55.55555555555556,0.9102941176470594,-1.3555555555555485,-20.0,0.18123517245574516,10.288888888888852
futures,CL,momentum,0.01,74,60,14,81.08108108108108,1.8184855233853097,19.86486486486503,200,74,79.72972972972973,1.4811229428848052,13.432432432432535,-1.3513513513513544,-0.3373625805005045,-6.4324324324324955
futures,ES,mean_reversion,0.25,35,27,8,77.14285714285715,1.542353610005685,27.257142857142856,200,35,74.28571428571429,1.4087858450274557,19.142857142857142,-2.857142857142861,-0.1335677649782292,-8.114285714285714
futures,ES,momentum,0.25,81,67,14,82.71604938271605,1.437088903034161,25.432098765432098,17,81,62.96296296296296,1.7,4.407407407407407,-19.75308641975309,0.26291109696583903,-21.02469135802469
futures,GC,mean_reversion,0.1,46,36,10,78.26086956521739,0.6287644787644766,-41.804347826087096,82,46,63.04347826086957,1.4038737446197977,12.239130434782568,-15.21739130434782,0.7751092658553211,54.04347826086966
futures,GC,momentum,0.1,74,54,20,72.97297297297297,0.45333617868829146,-103.85135135135133,200,74,63.51351351351351,0.9929245283018889,-0.4459459459458169,-9.45945945945946,0.5395883496135975,103.4054054054055
futures,HG,mean_reversion,0.0005,44,37,7,84.0909090909091,0.47859671709043855,-36.818181818182005,200,44,84.0909090909091,2.1334289813486285,17.954545454545304,0.0,1.6548322642581899,54.77272727272731
futures,HG,momentum,0.0005,84,62,22,73.80952380952381,0.7943999999999984,-9.178571428571498,200,84,73.80952380952381,0.9893723015609416,-0.3809523809524368,0.0,0.19497230156094314,8.797619047619062
futures,NG,mean_reversion,0.001,39,32,7,82.05128205128204,0.7861328124999999,-11.230769230769239,20,39,61.53846153846154,1.506666666666665,3.897435897435887,-20.512820512820504,0.7205338541666652,15.128205128205126
futures,NG,momentum,0.001,55,37,18,67.27272727272727,0.6632620491541648,-19.181818181818223,26,55,52.72727272727272,1.0369822485207099,0.45454545454545275,-14.545454545454547,0.3737201993665451,19.636363636363676
futures,NQ,mean_reversion,0.25,29,25,4,86.20689655172413,1.1827891364052487,41.310344827586206,150,29,62.06896551724138,1.5133333333333334,29.20689655172414,-24.137931034482747,0.3305441969280847,-12.103448275862068
futures,NQ,momentum,0.25,62,52,10,83.87096774193549,3.321802784555763,260.9032258064516,241,62,56.451612903225815,1.185646227140003,19.483870967741936,-27.419354838709673,-2.13615655741576,-241.41935483870964
futures,RTY,mean_reversion,0.1,37,33,4,89.1891891891892,0.874023437500002,-10.459459459459287,200,37,78.37837837837837,1.5031250000000014,21.75675675675682,-10.810810810810821,0.6291015624999994,32.216216216216104
futures,RTY,momentum,0.1,94,69,25,73.40425531914893,1.2346993081426272,14.07446808510633,49,94,45.744680851063826,0.8462479608482858,-4.010638297872379,-27.659574468085104,-0.3884513472943414,-18.085106382978708
futures,SI,mean_reversion,0.005,41,35,6,85.36585365853658,1.8547579298831314,12.487804878048706,200,41,82.92682926829268,1.7766830870279102,11.536585365853616,-2.439024390243901,-0.07807484285522115,-0.9512195121950899
futures,SI,momentum,0.005,82,65,17,79.26829268292683,1.4061196105702423,10.682926829268421,200,82,75.60975609756098,0.8657612128869252,-5.182926829268222,-3.6585365853658516,-0.5403583976833171,-15.865853658536643
futures,YM,mean_reversion,1.0,36,31,5,86.11111111111111,1.3912429378531073,30.77777777777778,79,36,63.888888888888886,1.546251217137293,15.583333333333334,-22.22222222222223,0.1550082792841858,-15.194444444444445
futures,YM,momentum,1.0,63,47,16,74.60317460317461,1.4528516246307657,31.634920634920636,200,63,63.49206349206349,1.0660645161290323,4.063492063492063,-11.111111111111121,-0.38678710850173337,-27.571428571428573
futures,ZB,mean_reversion,0.03125,40,30,10,75.0,1.3936170212765957,1.85,50,40,75.0,1.5057471264367817,2.2,0.0,0.11213010516018596,0.3500000000000001
futures,ZB,momentum,0.03125,67,48,19,71.64179104477611,1.1666666666666667,0.9253731343283582,100,67,71.64179104477611,1.172972972972973,0.9552238805970149,0.0,0.006306306306306242,0.02985074626865669
futures,ZN,mean_reversion,0.015625,37,35,2,94.5945945945946,31.88888888888889,7.513513513513513,50,37,94.5945945945946,31.88888888888889,7.513513513513513,0.0,0.0,0.0
futures,ZN,momentum,0.015625,71,60,11,84.50704225352112,3.1313131313131315,5.943661971830986,200,71,84.50704225352112,3.1313131313131315,5.943661971830986,0.0,0.0,0.0
gold_spot,XAUUSD,mean_reversion,0.01,53,48,5,90.56603773584906,1.416996546786824,233.53773584905466,377,53,66.0377358490566,1.847553787208958,108.51886792452808,-24.528301886792462,0.43055724042213406,-125.01886792452657
gold_spot,XAUUSD,momentum,0.01,93,78,15,83.87096774193549,0.8471212242759979,-174.1774193548413,713,93,49.46236559139785,0.8862910686043407,-40.97311827956923,-34.40860215053764,0.03916984432834281,133.20430107527207
