market,symbol,phase,pip_or_tick_size,round_trip_cost_units,median_atr_units,min_exit_units,max_exit_ratio,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,signal_exit_trades,signal_exit_wins,signal_exit_losses,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,profit_factor_delta_vs_signal_exit,win_rate_delta_vs_signal_exit
futures,6A,mean_reversion,5e-05,2.0,9.847052712202203,6,4.0,2.0,24,2.0,-0.05,0.15,50,200,76,59,17,77.63157894736842,1.5531249999999932,6.986842105263072,76,59,17,77.63157894736842,1.8009592326138972,8.789473684210403,0.24783423261390403,0.0
futures,6A,momentum,5e-05,2.0,9.730137303207323,6,4.0,2.5,16,2.0,,,200,500,143,115,28,80.41958041958041,2.8740219092331527,16.7482517482516,143,115,28,80.41958041958041,2.8740219092331527,16.7482517482516,0.0,0.0
futures,6B,mean_reversion,0.0001,2.0,7.2186270407386255,6,4.0,1.5,10,1.0,-0.05,0.15,100,200,69,60,9,86.95652173913044,7.751724137930942,14.188405797101403,69,60,9,86.95652173913044,7.751724137930942,14.188405797101403,0.0,0.0
futures,6B,momentum,0.0001,2.0,7.134357493570872,6,4.0,2.5,10,0.75,,,30,100,55,45,10,81.81818181818183,2.249999999999994,8.272727272727234,55,46,9,83.63636363636363,2.3775216138328434,8.690909090909061,0.12752161383284966,1.8181818181817988
futures,6C,mean_reversion,5e-05,2.0,5.975160811810491,6,4.0,3.0,6,,-0.1,0.1,75,200,63,51,12,80.95238095238095,1.5941255006675374,7.063492063491876,63,51,12,80.95238095238095,1.7376811594202701,8.079365079364909,0.14355565875273268,0.0
futures,6C,momentum,5e-05,2.0,5.449781538430208,6,4.0,2.5,10,0.75,,,50,200,39,30,9,76.92307692307693,3.042056074766344,11.205128205128057,39,30,9,76.92307692307693,3.08878504672896,11.461538461538312,0.04672897196261605,0.0
futures,6E,mean_reversion,5e-05,2.0,11.955205061794512,6,4.0,2.5,6,2.0,0.0,0.15,100,300,38,33,5,86.8421052631579,4.615384615384664,22.263157894737322,38,33,5,86.8421052631579,4.705128205128252,22.815789473684685,0.08974358974358854,0.0
futures,6E,momentum,5e-05,2.0,12.794024397036846,6,4.0,2.5,6,0.75,,,200,500,47,36,11,76.59574468085107,1.8902439024390183,20.191489361702,47,36,11,76.59574468085107,1.4720406681190927,13.829787234042373,-0.41820323431992557,0.0
futures,6J,mean_reversion,5e-07,2.0,10.990262459654458,6,4.0,3.0,6,1.5,-0.1,0.25,200,200,49,41,8,83.6734693877551,1.8273026315789644,10.265306122449136,49,41,8,83.6734693877551,2.3097713097713326,12.857142857143009,0.48246867819236816,0.0
futures,6J,momentum,5e-07,2.0,10.410520774760116,6,4.0,2.5,24,0.75,,,100,300,39,32,7,82.05128205128204,3.6828478964401596,21.256410256410387,39,32,7,82.05128205128204,3.7249190938511623,21.589743589743716,0.042071197411002625,0.0
futures,CL,mean_reversion,0.01,2.0,16.5692326760864,6,4.0,3.0,6,3.0,0.0,0.15,200,300,35,28,7,80.0,3.2067039106145216,33.85714285714284,35,28,7,80.0,3.227188081936682,34.17142857142854,0.020484171322160183,0.0
futures,CL,momentum,0.01,2.0,15.071424103773715,6,4.0,2.5,6,0.75,,,500,300,58,49,9,84.48275862068965,6.35496957403651,45.517241379310335,58,49,9,84.48275862068965,5.283305227655986,43.79310344827586,-1.0716643463805244,0.0
futures,ES,mean_reversion,0.25,2.0,23.69200133812087,6,4.0,1.5,10,0.75,-0.05,0.15,500,500,31,26,5,83.87096774193549,4.386752136752137,51.12903225806452,31,26,5,83.87096774193549,4.386752136752137,51.12903225806452,0.0,0.0
futures,ES,momentum,0.25,2.0,21.791596736997967,6,4.0,2.5,16,2.0,,,300,300,129,103,26,79.84496124031007,2.2609457092819616,44.651162790697676,129,97,32,75.1937984496124,1.3720668595306975,17.94573643410853,-0.8888788497512641,-4.6511627906976685
