market,symbol,phase,pip_or_tick_size,unit_size_pips_or_ticks,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
futures,RTY,mean_reversion,0.1,20,37,16,21,43.24324324324324,0.7261904761904762,-3.108108108108108
futures,RTY,mean_reversion,0.1,25,37,17,20,45.94594594594595,0.81,-2.5675675675675675
futures,RTY,mean_reversion,0.1,33,37,19,18,51.35135135135135,0.9814814814814784,-0.29729729729734644
futures,RTY,mean_reversion,0.1,49,37,18,19,48.64864864864865,0.790547798066596,-5.270270270270245
futures,RTY,mean_reversion,0.1,50,37,18,19,48.64864864864865,0.7884210526315799,-5.432432432432408
futures,RTY,mean_reversion,0.1,66,37,21,16,56.75675675675676,1.0596590909090908,1.7027027027027026
futures,RTY,mean_reversion,0.1,100,37,23,14,62.16216216216216,1.1621428571428574,6.1351351351351475
futures,RTY,mean_reversion,0.1,200,37,29,8,78.37837837837837,1.5031250000000014,21.75675675675682
futures,RTY,momentum,0.1,5,94,23,71,24.46808510638298,0.323943661971831,-2.5531914893617023
futures,RTY,momentum,0.1,8,94,28,66,29.78723404255319,0.42424242424242425,-3.234042553191489
futures,RTY,momentum,0.1,10,94,30,64,31.914893617021278,0.46875,-3.617021276595745
futures,RTY,momentum,0.1,16,94,35,59,37.234042553191486,0.5932203389830508,-4.085106382978723
futures,RTY,momentum,0.1,20,94,35,59,37.234042553191486,0.5932203389830508,-5.1063829787234045
futures,RTY,momentum,0.1,24,94,35,59,37.234042553191486,0.5932203389830508,-6.127659574468085
futures,RTY,momentum,0.1,33,94,38,56,40.42553191489361,0.6785714285714286,-6.319148936170213
futures,RTY,momentum,0.1,49,94,43,51,45.744680851063826,0.8462479608482858,-4.010638297872379
futures,RTY,momentum,0.1,50,94,43,51,45.744680851063826,0.8457234212629883,-4.106382978723443
futures,RTY,momentum,0.1,65,94,41,53,43.61702127659575,0.7610881135422823,-8.595744680851084
futures,RTY,momentum,0.1,100,94,40,54,42.5531914893617,0.6192003017729159,-21.47872340425533
futures,RTY,momentum,0.1,200,94,50,44,53.191489361702125,0.5564731600680114,-38.851063829787215
futures,SI,mean_reversion,0.005,2,41,7,34,17.073170731707318,0.20588235294117646,-1.3170731707317074
futures,SI,mean_reversion,0.005,4,41,16,25,39.02439024390244,0.64,-0.8780487804878049
futures,SI,mean_reversion,0.005,5,41,17,24,41.46341463414634,0.7083333333333334,-0.8536585365853658
futures,SI,mean_reversion,0.005,8,41,17,24,41.46341463414634,0.7173913043478256,-1.2682926829268313
futures,SI,mean_reversion,0.005,10,41,19,22,46.34146341463415,0.8761904761904757,-0.6341463414634168
futures,SI,mean_reversion,0.005,11,41,19,22,46.34146341463415,0.874458874458874,-0.7073170731707338
futures,SI,mean_reversion,0.005,15,41,22,19,53.65853658536586,1.1555555555555566,1.0243902439024466
futures,SI,mean_reversion,0.005,20,41,23,18,56.09756097560976,1.2205882352941189,1.8292682926829373
futures,SI,mean_reversion,0.005,23,41,23,18,56.09756097560976,1.1918158567774955,1.8292682926829442
futures,SI,mean_reversion,0.005,30,41,24,17,58.536585365853654,1.197916666666668,2.3170731707317254
futures,SI,mean_reversion,0.005,50,41,26,15,63.41463414634146,1.1100000000000025,1.8780487804878472
futures,SI,mean_reversion,0.005,100,41,32,9,78.04878048780488,1.7358803986710927,10.804878048780454
futures,SI,mean_reversion,0.005,200,41,34,7,82.92682926829268,1.7766830870279102,11.536585365853616
futures,SI,momentum,0.005,2,82,13,69,15.853658536585366,0.18840579710144928,-1.3658536585365855
futures,SI,momentum,0.005,4,82,26,56,31.70731707317073,0.4642857142857143,-1.4634146341463414
futures,SI,momentum,0.005,5,82,26,56,31.70731707317073,0.4642857142857143,-1.829268292682927
futures,SI,momentum,0.005,8,82,31,51,37.80487804878049,0.6078431372549019,-1.951219512195122
futures,SI,momentum,0.005,10,82,34,48,41.46341463414634,0.7083333333333334,-1.7073170731707317
futures,SI,momentum,0.005,12,82,34,48,41.46341463414634,0.7083333333333334,-2.048780487804878
futures,SI,momentum,0.005,15,82,36,46,43.90243902439025,0.7652173913043488,-1.9756097560975527
futures,SI,momentum,0.005,20,82,37,45,45.1219512195122,0.7855555555555562,-2.3536585365853586
futures,SI,momentum,0.005,23,82,35,47,42.68292682926829,0.7021276595744685,-3.9268292682926775
futures,SI,momentum,0.005,31,82,40,42,48.78048780487805,0.8509984639016889,-2.3658536585365986
futures,SI,momentum,0.005,50,82,41,41,50.0,0.7190243902439029,-7.0243902439024275
futures,SI,momentum,0.005,100,82,53,29,64.63414634146342,0.8125669403784372,-6.402439024390208
futures,SI,momentum,0.005,200,82,62,20,75.60975609756098,0.8657612128869252,-5.182926829268222
futures,YM,mean_reversion,1.0,5,36,5,31,13.88888888888889,0.16129032258064516,-3.611111111111111
futures,YM,mean_reversion,1.0,6,36,7,29,19.444444444444446,0.2413793103448276,-3.6666666666666665
futures,YM,mean_reversion,1.0,10,36,10,26,27.77777777777778,0.38461538461538464,-4.444444444444445
futures,YM,mean_reversion,1.0,20,36,15,21,41.66666666666667,0.7142857142857143,-3.3333333333333335
futures,YM,mean_reversion,1.0,30,36,16,20,44.44444444444444,0.7883333333333333,-3.5277777777777777
futures,YM,mean_reversion,1.0,40,36,16,20,44.44444444444444,0.77875,-4.916666666666667
futures,YM,mean_reversion,1.0,50,36,17,19,47.22222222222222,0.8663157894736843,-3.5277777777777777
futures,YM,mean_reversion,1.0,59,36,18,18,50.0,0.9651600753295668,-1.0277777777777777
futures,YM,mean_reversion,1.0,79,36,23,13,63.888888888888886,1.546251217137293,15.583333333333334
futures,YM,mean_reversion,1.0,100,36,24,12,66.66666666666666,1.5066666666666666,16.88888888888889
futures,YM,mean_reversion,1.0,200,36,25,11,69.44444444444444,1.009090909090909,0.5555555555555556
futures,YM,momentum,1.0,5,63,6,57,9.523809523809524,0.10526315789473684,-4.0476190476190474
futures,YM,momentum,1.0,6,63,9,54,14.285714285714285,0.16666666666666666,-4.285714285714286
futures,YM,momentum,1.0,10,63,16,47,25.396825396825395,0.3404255319148936,-4.920634920634921
futures,YM,momentum,1.0,20,63,23,40,36.507936507936506,0.575,-5.396825396825397
futures,YM,momentum,1.0,30,63,27,36,42.857142857142854,0.75,-4.285714285714286
futures,YM,momentum,1.0,40,63,29,34,46.03174603174603,0.8529411764705882,-3.1746031746031744
futures,YM,momentum,1.0,50,63,28,35,44.44444444444444,0.8,-5.555555555555555
