market,symbol,phase,period_start,data_end,pip_or_tick_size,cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,win_rate_pct,profit_factor_r,total_r,avg_r,profit_factor_units,avg_units
futures,NQ,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.25,3.0,3.0,6,1.0,-0.2,0.4,150,500,27,88.88888888888889,2.2975480450629555,3.892644135188866,0.14417200500699504,2.2975480450629555,72.51851851851852
futures,NQ,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.25,3.0,2.5,10,1.5,,,500,334,60,38.333333333333336,0.6344534445424652,-13.525222551928785,-0.22542037586547975,0.6344534445424653,-75.96666666666667
futures,RTY,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.1,3.0,2.5,24,2.0,-0.1,0.1,500,500,7,85.71428571428571,35.235294117647975,2.3141153081510932,0.33058790116444187,35.235294117647975,166.28571428571428
futures,RTY,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.1,3.0,2.0,6,1.5,,,500,300,66,74.24242424242425,1.283295194508008,4.085808580858068,0.06190619061906164,1.2832951945080078,18.757575757575676
futures,SI,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.005,3.0,2.5,6,1.0,-0.05,0.15,200,500,7,85.71428571428571,0.24850894632206896,-0.7514910536779311,-0.10735586481113302,0.24850894632206896,-53.9999999999999
futures,SI,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.005,3.0,3.0,6,2.0,,,500,500,34,67.64705882352942,0.8890347997373591,-0.6719681908548791,-0.019763770319261152,0.889034799737359,-9.94117647058836
futures,YM,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,1.0,3.0,2.0,24,1.5,-0.1,0.1,500,500,7,100.0,inf,1.697813121272366,0.242544731610338,inf,122.0
futures,YM,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,1.0,3.0,1.5,16,0.75,,,300,500,41,85.36585365853658,1.6354368932038834,2.602385685884693,0.06347282160694373,1.6354368932038834,31.926829268292682
futures,ZB,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.03125,3.0,2.5,6,0.75,-0.1,0.25,15,50,18,66.66666666666666,2.9375,0.5849056603773586,0.032494758909853254,2.9375,1.7222222222222223
futures,ZB,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.03125,3.0,3.0,24,1.0,,,30,75,23,78.26086956521739,3.2105263157894735,1.6153846153846156,0.07023411371237459,3.210526315789474,5.478260869565218
futures,ZN,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.015625,3.0,2.5,6,0.75,-0.1,0.25,15,50,17,100.0,inf,1.3018867924528301,0.07658157602663707,inf,4.0588235294117645
futures,ZN,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.015625,3.0,2.0,10,1.0,,,50,150,35,65.71428571428571,1.09375,0.09803921568627455,0.002801120448179273,1.09375,0.42857142857142855
gold_spot,XAUUSD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,11.0,2.0,16,0.75,0.0,0.15,1097,300,7,28.57142857142857,0.8598070739549769,-0.7009646302251156,-0.10013780431787365,0.8598070739549769,-31.142857142858702
gold_spot,XAUUSD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,11.0,2.0,16,,,,1032,300,228,25.877192982456144,1.1340017884662952,22.646302250803892,0.09932588706492936,1.1340017884662954,30.890350877193047
