phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol
momentum,358,67.87709497206704,0.7402942187095936,74,54,20,72.97297297297297,72.90502793296089,62.91256906204274,0.44324240506045903,-2.318544704446567,0.10178233709668176,0.7124763596767724,70,1.0571428571428572,56,1.3214285714285714,futures,GC
momentum,389,66.32390745501286,0.7953874090808358,84,62,22,73.80952380952381,73.72145773476485,64.41885579267877,0.9394782914789135,-0.11817218388736993,0.11518683579019541,0.8063078505313678,72,1.1666666666666667,57,1.4736842105263157,futures,HG
momentum,361,67.86703601108033,0.7379736213936084,55,37,18,67.27272727272727,67.28333992876928,55.103070496855445,0.5828177958501719,-1.783863254862692,0.07530163438774637,0.5271114407142246,53,1.0377358490566038,43,1.2790697674418605,futures,NG
momentum,354,65.5367231638418,0.885004684077754,62,52,10,83.87096774193549,83.57994798672765,74.50374088960551,3.397142804292678,2.0732203594430954,0.08513194593434885,0.595923621540442,59,1.0508474576271187,45,1.3777777777777778,futures,NQ
momentum,393,67.43002544529261,1.1348202104769278,94,69,25,73.40425531914893,73.34136868889783,64.49604186333886,1.0748269478858892,0.14630677343619986,0.12929848693259974,0.9050894085281981,87,1.0804597701149425,65,1.4461538461538461,futures,RTY
momentum,387,70.54263565891473,1.1122261835165905,82,65,17,79.26829268292683,79.16316428504716,70.47768308043918,1.1186695876276331,0.2265410584619256,0.11358487843589928,0.7950941490512949,78,1.0512820512820513,56,1.4642857142857142,futures,SI
momentum,396,66.16161616161617,1.0239479990445193,63,47,16,74.60317460317461,74.47127525252525,63.87121463531238,1.1886499670023083,0.32469771425662064,0.08629890699466339,0.6040923489626437,59,1.0677966101694916,45,1.4,futures,YM
momentum,380,69.47368421052632,1.2896532518196115,67,48,19,71.64179104477611,71.60990712074303,60.970890487452436,1.1227774438499378,0.21954901452878514,0.09322144441062655,0.6525501108743859,61,1.098360655737705,45,1.488888888888889,futures,ZB
momentum,351,72.93447293447294,1.311766411768171,71,60,11,84.50704225352112,84.3463121240899,76.01072825313321,2.5300721175069665,1.4887075386557385,0.0992934663850244,0.6950542646951708,69,1.0289855072463767,54,1.3148148148148149,futures,ZN
momentum,418,72.96650717703349,1.1298865997422007,93,78,15,83.87096774193549,83.75496284230888,76.33742281834951,0.7918571276899949,-0.5832769223362063,0.12757566231316625,0.8930296361921637,84,1.1071428571428572,60,1.55,gold_spot,XAUUSD
mean_reversion,331,72.80966767371602,1.3433604969701607,55,43,12,78.18181818181819,78.08588692274493,67.34681214566615,1.5291450906698443,0.6182987000011717,0.0753779605122275,0.5276457235855926,50,1.1,39,1.4102564102564104,forex,AUDUSD
mean_reversion,299,71.90635451505017,1.1582495230184848,55,45,10,81.81818181818183,81.64118490205448,71.59050094019628,1.4083598135726179,0.5259134842413012,0.07627412458107015,0.533918872067491,49,1.1224489795918366,43,1.2790697674418605,forex,EURUSD
mean_reversion,320,73.125,1.1649790938927733,55,44,11,80.0,79.87723214285715,69.4690710402893,1.1636822996169658,0.29613736592068535,0.0754932799542465,0.5284529596797255,50,1.1,43,1.2790697674418605,forex,GBPUSD
mean_reversion,326,68.40490797546013,1.045741420743542,69,55,14,79.71014492753623,79.54864154250657,70.16644857147429,0.6939353796235759,-0.7860885537602789,0.09476123716059626,0.6633286601241738,61,1.1311475409836065,47,1.4680851063829787,forex,NZDUSD
mean_reversion,258,62.4031007751938,0.9434965559833199,44,26,18,59.09090909090909,59.164513350559865,44.95998978472067,0.4513930075227053,-1.3359625154833745,0.06109873578846877,0.4276911505192814,40,1.1,34,1.2941176470588236,forex,USDCAD
mean_reversion,283,68.19787985865725,0.9409208668521462,53,44,9,83.01886792452831,82.74440518256773,72.75800390649805,1.285108748044789,0.4511806933725645,0.07339767170121608,0.5137837019085125,51,1.0392156862745099,40,1.325,forex,USDCHF
mean_reversion,303,68.97689768976898,1.01076329554765,49,40,9,81.63265306122449,81.37953795379538,70.69578542315634,1.1078155766521174,0.17188369012193314,0.06724899569686486,0.47074296987805403,44,1.1136363636363635,34,1.4411764705882353,forex,USDJPY
mean_reversion,332,71.98795180722891,1.2053785443283083,59,46,13,77.96610169491525,77.86646586345381,67.44828798840359,1.1352918190834995,0.22593914915212032,0.08085999400402587,0.5660199580281811,56,1.0535714285714286,47,1.2553191489361701,futures,6A
mean_reversion,311,74.27652733118971,1.2071698290340964,54,47,7,87.03703703703704,86.805027769658,77.94084426196792,2.071648379003786,1.331690526516394,0.07411219763252702,0.5187853834276892,49,1.1020408163265305,41,1.3170731707317074,futures,6B
mean_reversion,294,64.96598639455783,0.8701205100869287,50,35,15,70.0,69.90129385087369,57.4340366164525,0.8730999024757771,-0.2807876865482422,0.06945348786734384,0.48617441507140685,47,1.0638297872340425,41,1.2195121951219512,futures,6C
mean_reversion,295,69.49152542372882,1.119662927539083,53,43,10,81.13207547169812,80.91650973006905,70.53113428944778,1.0434026395540177,0.08254911179420019,0.073433688859382,0.5140358220156739,49,1.0816326530612246,43,1.2325581395348837,futures,6E
