phase,trades,wins,losses,win_rate_pct,profit_factor_pips,avg_pnl_pips,gross_profit_pips,gross_loss_pips,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol,pip_size,exclude,reason
momentum,71,53,18,74.64788732394366,1.0403130137983925,0.5456338028166057,999.7199999999729,960.9799999999939,0.10090303478904515,0.706321243523316,65,1.0923076923076922,51,1.392156862745098,forex,EURUSD,0.0001,False,
momentum,92,71,21,77.17391304347827,0.839755154639149,-2.703260869565653,1303.2999999999556,1551.9999999999957,0.12796105533098623,0.8957273873169035,84,1.0952380952380953,62,1.4838709677419355,forex,GBPUSD,0.0001,True,PF<1 avg<=0 
momentum,96,76,20,79.16666666666666,0.9742093026527785,-0.2329291666670025,844.6645999999589,867.0257999999912,0.13577500478807253,0.9504250335165078,87,1.103448275862069,61,1.5737704918032787,forex,NZDUSD,0.0001,True,PF<1 avg<=0 
momentum,68,56,12,82.35294117647058,1.9918953766807483,7.919117647058397,1081.399999999964,542.8999999999928,0.1007422954057933,0.705196067840553,63,1.0793650793650793,46,1.4782608695652173,forex,USDCAD,0.0001,False,
momentum,83,68,15,81.92771084337349,2.4150571134903878,10.536167469879228,1492.4994999999676,617.9975999999918,0.11597409213303253,0.8118186449312277,74,1.1216216216216217,58,1.4310344827586208,forex,USDCHF,0.0001,False,
momentum,70,54,16,77.14285714285715,0.8687432674542233,-3.817880142857299,1768.8466899999921,2036.0983000000033,0.09811794594752442,0.6868256216326709,64,1.09375,51,1.3725490196078431,forex,USDJPY,0.01,True,PF<1 avg<=0 
momentum,91,69,22,75.82417582417582,1.1049608355091105,2.2087912087905974,2115.9999999999263,1914.9999999999816,0.1295738716423666,0.9070171014965663,86,1.058139534883721,62,1.467741935483871,futures,6A,5e-05,False,
momentum,98,80,18,81.63265306122449,0.7339825730394486,-5.295918367347285,1431.999999999959,1950.999999999993,0.13568317517090195,0.9497822261963137,86,1.1395348837209303,56,1.75,futures,6B,0.0001,True,PF<1 avg<=0 
momentum,74,62,12,83.78378378378379,2.63733333333325,8.297297297296646,988.9999999999413,374.99999999998965,0.10555250137438153,0.7388675096206707,68,1.088235294117647,49,1.510204081632653,futures,6C,5e-05,False,
momentum,79,63,16,79.74683544303798,0.8582507539853348,-4.164556962025773,1991.9999999999516,2320.9999999999877,0.11241551049448595,0.7869085734614016,72,1.0972222222222223,52,1.5192307692307692,futures,6E,5e-05,True,PF<1 avg<=0 
momentum,64,52,12,81.25,1.5466794995190676,8.875000000003158,1607.0000000000025,1038.9999999998004,0.09049267250902128,0.633448707563149,58,1.103448275862069,43,1.4883720930232558,futures,6J,5e-07,False,
momentum,74,60,14,81.08108108108108,1.8184855233853097,19.864864864865027,3266.0000000000064,1795.9999999999945,0.10390066254223158,0.7273046377956212,66,1.121212121212121,51,1.4509803921568627,futures,CL,0.01,False,
momentum,81,67,14,82.71604938271605,1.437088903034161,25.432098765432098,6773.0,4713.0,0.111520644800436,0.780644513603052,76,1.0657894736842106,58,1.396551724137931,futures,ES,0.25,False,
momentum,74,54,20,72.97297297297297,0.45333617868829146,-103.85135135135133,6373.0,14057.999999999996,0.10334744468205823,0.7234321127744076,70,1.0571428571428572,56,1.3214285714285714,futures,GC,0.1,True,PF<1 avg<=0 
momentum,84,62,22,73.80952380952381,0.7943999999999972,-9.178571428571548,2978.9999999999905,3750.0000000000014,0.11654189669624533,0.8157932768737173,72,1.1666666666666667,57,1.4736842105263157,futures,HG,0.0005,True,PF<1 avg<=0 
momentum,55,37,18,67.27272727272727,0.6632620491541643,-19.181818181818233,2077.9999999999964,3132.999999999999,0.07714335807375372,0.540003506516276,53,1.0377358490566038,43,1.2790697674418605,futures,NG,0.001,True,PF<1 avg<=0 
momentum,62,52,10,83.87096774193549,3.321802784555763,260.9032258064516,23143.0,6967.0,0.08906313127534454,0.6234419189274119,59,1.0508474576271187,45,1.3777777777777778,futures,NQ,0.25,False,
momentum,94,69,25,73.40425531914893,1.2346993081426272,14.07446808510633,6960.000000000018,5637.000000000024,0.13147236224831726,0.9203065357382209,87,1.0804597701149425,65,1.4461538461538461,futures,RTY,0.1,False,
momentum,82,65,17,79.26829268292683,1.4061196105702423,10.682926829268414,3033.0000000000055,2156.999999999995,0.11951537971032096,0.8366076579722467,78,1.0512820512820513,56,1.4642857142857142,futures,SI,0.005,False,
momentum,63,47,16,74.60317460317461,1.4528516246307657,31.634920634920636,6394.0,4401.0,0.0892088028792259,0.6244616201545813,59,1.0677966101694916,45,1.4,futures,YM,1.0,False,
momentum,67,48,19,71.64179104477611,1.1666666666666667,0.9253731343283582,434.0,372.0,0.09585550140832476,0.6709885098582734,61,1.098360655737705,45,1.488888888888889,futures,ZB,0.03125,False,
momentum,71,60,11,84.50704225352112,3.1313131313131315,5.943661971830986,620.0,198.0,0.1001734222979924,0.7012139560859469,69,1.0289855072463767,54,1.3148148148148149,futures,ZN,0.015625,False,
momentum,93,78,15,83.87096774193549,0.8471212242759979,-174.17741935484122,89757.9999999998,105956.50000000003,0.12890185094279694,0.9023129565995784,84,1.1071428571428572,60,1.55,gold_spot,XAUUSD,0.01,True,PF<1 avg<=0 
