market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
futures,NQ,momentum,long,17605,17606,17608,2024-07-29 14:45:00+00:00,2024-07-29 15:00:00+00:00,2024-07-29 15:30:00+00:00,19222.0,19138.5,-334.0,-337.0,-1.0,500,334,3.0,sl,2,48,1.5763546798029557,9.373887240356085
futures,NQ,momentum,long,17619,17620,17637,2024-07-29 18:15:00+00:00,2024-07-29 18:30:00+00:00,2024-07-29 23:45:00+00:00,19217.75,19134.25,-334.0,-337.0,-1.0,500,334,3.0,sl,17,49,1.4850464077002405,8.373887240356085
forex,GBPUSD,momentum,long,18653,18654,18668,2024-08-01 06:00:00+00:00,2024-08-01 06:15:00+00:00,2024-08-01 09:45:00+00:00,1.2835,1.276,-75.0,-77.0,-1.0,20,75,2.0,sl,14,68,1.9225268176400374,5.025974025973943
futures,NQ,momentum,long,17879,17880,17881,2024-08-01 14:15:00+00:00,2024-08-01 14:30:00+00:00,2024-08-01 14:45:00+00:00,19446.75,19363.25,-334.0,-337.0,-1.0,500,334,3.0,sl,1,49,1.4850464077002405,8.373887240356085
futures,NQ,momentum,short,18157,18158,18165,2024-08-06 14:45:00+00:00,2024-08-06 15:00:00+00:00,2024-08-06 16:45:00+00:00,18301.75,18385.25,-334.0,-337.0,-1.0,500,334,3.0,sl,7,47,1.4252320385012032,7.341246290801188
futures,NQ,momentum,short,18332,18333,18338,2024-08-08 12:30:00+00:00,2024-08-08 12:45:00+00:00,2024-08-08 14:00:00+00:00,18171.0,18254.5,-334.0,-337.0,-1.0,500,334,3.0,sl,5,48,1.3471974004874085,6.341246290801188
futures,NQ,momentum,long,18601,18602,18607,2024-08-13 10:45:00+00:00,2024-08-13 11:00:00+00:00,2024-08-13 12:15:00+00:00,18658.0,18755.25,389.0,386.0,1.14540059347181,500,334,3.0,signal,5,50,1.3538200862600123,6.8160237388724045
futures,NQ,momentum,long,19076,19077,19082,2024-08-20 14:30:00+00:00,2024-08-20 14:45:00+00:00,2024-08-20 16:00:00+00:00,19747.25,19852.75,422.0,419.0,1.2433234421364985,500,334,3.0,signal,5,49,1.4567018683996749,8.341246290801188
futures,NQ,momentum,long,19173,19174,19184,2024-08-21 15:45:00+00:00,2024-08-21 16:00:00+00:00,2024-08-21 18:30:00+00:00,19824.75,19932.25,430.0,427.0,1.2670623145400592,500,334,3.0,signal,10,50,1.5247766043866775,9.584569732937686
futures,NQ,momentum,short,19364,19365,19443,2024-08-23 17:30:00+00:00,2024-08-23 17:45:00+00:00,2024-08-26 14:15:00+00:00,19765.5,19640.5,500.0,497.0,1.4747774480712166,500,334,3.0,tp,78,51,1.5941510966693744,10.851632047477745
futures,NQ,momentum,short,19535,19536,19626,2024-08-27 14:15:00+00:00,2024-08-27 14:30:00+00:00,2024-08-28 14:00:00+00:00,19630.5,19558.0,290.0,287.0,0.8516320474777448,500,334,3.0,signal,90,50,1.6087733549959382,11.118694362017804
futures,NQ,momentum,short,19700,19701,19716,2024-08-29 09:30:00+00:00,2024-08-29 09:45:00+00:00,2024-08-29 13:30:00+00:00,19477.5,19561.0,-334.0,-337.0,-1.0,500,334,3.0,sl,15,49,1.5205523964256702,9.507418397626113
futures,NQ,momentum,long,19735,19736,19736,2024-08-29 18:15:00+00:00,2024-08-29 18:30:00+00:00,2024-08-29 18:30:00+00:00,19498.25,19414.75,-334.0,-337.0,-1.0,500,334,3.0,sl,0,50,1.4416204559457793,8.507418397626113
futures,NQ,momentum,long,19813,19814,19820,2024-08-30 14:45:00+00:00,2024-08-30 15:00:00+00:00,2024-08-30 16:30:00+00:00,19469.0,19385.5,-334.0,-337.0,-1.0,500,334,3.0,sl,6,51,1.3704788402401522,7.507418397626113
futures,NQ,momentum,long,19919,19920,19953,2024-09-02 23:15:00+00:00,2024-09-02 23:30:00+00:00,2024-09-03 07:45:00+00:00,19578.25,19640.5,249.0,246.0,0.7299703264094956,500,334,3.0,signal,33,50,1.3303558354078195,6.6943620178041545
futures,NQ,momentum,short,20160,20161,20162,2024-09-05 13:30:00+00:00,2024-09-05 13:45:00+00:00,2024-09-05 14:00:00+00:00,18993.75,19077.25,-334.0,-337.0,-1.0,500,334,3.0,sl,1,50,1.4373074553296363,8.42433234421365
futures,NQ,momentum,short,20180,20181,20199,2024-09-05 18:30:00+00:00,2024-09-05 18:45:00+00:00,2024-09-06 00:15:00+00:00,18998.25,18873.25,500.0,497.0,1.4747774480712166,500,334,3.0,tp,18,51,1.3663786791623955,7.424332344213649
futures,NQ,momentum,short,20345,20346,20348,2024-09-09 13:45:00+00:00,2024-09-09 14:00:00+00:00,2024-09-09 14:30:00+00:00,18687.0,18562.0,500.0,497.0,1.4747774480712166,500,334,3.0,tp,2,51,1.3871723531995899,7.845697329376854
futures,NQ,momentum,short,20371,20372,20418,2024-09-09 20:15:00+00:00,2024-09-09 20:30:00+00:00,2024-09-10 09:00:00+00:00,18726.5,18601.5,500.0,497.0,1.4747774480712166,500,334,3.0,tp,46,52,1.45995021232977,9.320474777448071
futures,NQ,momentum,long,20907,20908,20909,2024-09-17 16:15:00+00:00,2024-09-17 16:30:00+00:00,2024-09-17 16:45:00+00:00,19457.25,19373.75,-334.0,-337.0,-1.0,500,334,3.0,sl,1,51,1.3871723531995899,7.845697329376854
futures,NQ,momentum,long,21238,21239,21333,2024-09-23 07:00:00+00:00,2024-09-23 07:15:00+00:00,2024-09-24 07:45:00+00:00,20024.75,20149.75,500.0,497.0,1.4747774480712166,500,334,3.0,tp,94,50,1.3930297261678137,7.964391691394658
futures,NQ,momentum,long,21346,21347,21359,2024-09-24 11:00:00+00:00,2024-09-24 11:15:00+00:00,2024-09-24 14:15:00+00:00,20059.25,19975.75,-334.0,-337.0,-1.0,500,334,3.0,sl,12,50,1.441938790452482,8.955489614243323
futures,NQ,momentum,long,21603,21604,21627,2024-09-27 06:15:00+00:00,2024-09-27 06:30:00+00:00,2024-09-27 12:15:00+00:00,20263.75,20357.25,374.0,371.0,1.1008902077151337,500,334,3.0,signal,23,51,1.3741278258442646,7.955489614243323
futures,NQ,momentum,long,21635,21636,21642,2024-09-27 14:15:00+00:00,2024-09-27 14:30:00+00:00,2024-09-27 16:00:00+00:00,20313.25,20229.75,-334.0,-337.0,-1.0,500,334,3.0,sl,6,52,1.4259000837287188,9.056379821958457
futures,NQ,momentum,short,21700,21701,21743,2024-09-30 07:30:00+00:00,2024-09-30 07:45:00+00:00,2024-09-30 18:15:00+00:00,20236.75,20111.75,500.0,497.0,1.4747774480712166,500,334,3.0,tp,42,52,1.320671731307477,7.139465875370919
futures,NQ,momentum,short,22002,22003,22014,2024-10-03 14:00:00+00:00,2024-10-03 14:15:00+00:00,2024-10-03 17:00:00+00:00,20026.0,19920.75,421.0,418.0,1.2403560830860534,500,334,3.0,signal,11,51,1.432040189785096,9.18694362017804
futures,NQ,momentum,long,22167,22168,22205,2024-10-07 09:15:00+00:00,2024-10-07 09:30:00+00:00,2024-10-07 18:45:00+00:00,20064.25,19980.75,-334.0,-337.0,-1.0,500,334,3.0,sl,37,50,1.527310001464343,10.685459940652818
futures,NQ,momentum,short,22260,22261,22278,2024-10-08 09:30:00+00:00,2024-10-08 09:45:00+00:00,2024-10-08 14:00:00+00:00,20076.25,20159.75,-334.0,-337.0,-1.0,500,334,3.0,sl,17,51,1.4554842310912641,9.685459940652818
futures,NQ,momentum,long,22456,22457,22467,2024-10-10 12:30:00+00:00,2024-10-10 12:45:00+00:00,2024-10-10 15:15:00+00:00,20349.5,20422.25,291.0,288.0,0.8545994065281899,500,334,3.0,signal,10,51,1.4554842310912641,9.685459940652818
futures,NQ,momentum,long,22579,22580,22642,2024-10-11 20:15:00+00:00,2024-10-11 20:30:00+00:00,2024-10-14 13:00:00+00:00,20420.0,20545.0,500.0,497.0,1.4747774480712166,500,334,3.0,tp,62,52,1.4956740161875521,10.540059347181007
futures,NQ,momentum,long,22739,22740,22740,2024-10-15 14:15:00+00:00,2024-10-15 14:30:00+00:00,2024-10-15 14:30:00+00:00,20515.5,20432.0,-334.0,-337.0,-1.0,500,334,3.0,sl,0,53,1.5650293050516326,12.014836795252224
futures,NQ,momentum,short,22890,22891,22892,2024-10-17 06:00:00+00:00,2024-10-17 06:15:00+00:00,2024-10-17 06:30:00+00:00,20382.25,20465.75,-334.0,-337.0,-1.0,500,334,3.0,sl,1,54,1.4947354391576704,11.014836795252224
futures,NQ,momentum,long,22920,22921,22930,2024-10-17 13:30:00+00:00,2024-10-17 13:45:00+00:00,2024-10-17 16:00:00+00:00,20448.0,20508.0,240.0,237.0,0.7032640949554896,500,334,3.0,signal,9,55,1.430484693877551,10.014836795252224
