market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,key,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key
futures,6B,mean_reversion,long,334834,334835,335197,2024-08-29 16:00:00+00:00,2024-08-29 16:15:00+00:00,2024-09-04 14:45:00+00:00,1.3185,1.3171,-14.00000000000068,-17.00000000000068,-0.0837438423645353,500.0,200.0,3.0,signal,362,6B:mean_reversion,9.0,0.625,-95.62500000000382,1141.875,2812.5,2024-08-29
futures,NQ,momentum,long,333305,333306,333306,2024-08-29 18:15:00+00:00,2024-08-29 18:30:00+00:00,2024-08-29 18:30:00+00:00,19498.25,19373.25,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,1,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2024-08-29
futures,CL,ict_sweep_fvg,short,17105,17110,17110,2024-09-02 09:45:00+00:00,2024-09-02 11:00:00+00:00,2024-09-02 11:00:00+00:00,73.64,73.49,15.000000000000568,12.000000000000568,1.0,15.000000000000568,15.000000000000568,3.0,tp,0,CL:ict_sweep_fvg,35.0,1.0,420.0000000000199,630.0000000000199,525.0000000000199,2024-09-02
futures,CL,momentum,short,336025,336026,336041,2024-09-02 15:45:00+00:00,2024-09-02 16:00:00+00:00,2024-09-02 23:15:00+00:00,74.32,73.57,75.0,72.0,0.1431411530815109,500.0,500.0,3.0,signal,15,CL:momentum,2.0,1.0,144.0,1006.0,1000.0,2024-09-02
futures,YM,ict_sweep_fvg,long,17079,17086,17087,2024-09-02 14:30:00+00:00,2024-09-02 16:15:00+00:00,2024-09-02 16:30:00+00:00,41600.0,41623.0,23.0,20.0,0.7692307692307693,23.0,23.0,3.0,tp,1,YM:ict_sweep_fvg,35.0,0.5,350.0,455.0,402.5,2024-09-02
futures,RTY,ict_sweep_fvg,long,17078,17087,17087,2024-09-02 14:30:00+00:00,2024-09-02 16:45:00+00:00,2024-09-02 16:45:00+00:00,2219.2000000000003,2217.5,-17.00000000000273,-20.00000000000273,-1.0,16.99999999999818,17.00000000000273,3.0,sl,0,RTY:ict_sweep_fvg,40.0,0.5,-400.00000000005457,400.00000000005457,339.9999999999636,2024-09-02
futures,CL,ict_sweep_fvg,long,17276,17278,17278,2024-09-04 09:00:00+00:00,2024-09-04 09:30:00+00:00,2024-09-04 09:30:00+00:00,70.07000000000001,70.27,19.999999999998863,16.999999999998863,0.7391304347825501,19.999999999998863,20.000000000000284,3.0,tp,0,CL:ict_sweep_fvg,35.0,1.0,594.9999999999602,805.00000000001,699.9999999999602,2024-09-04
futures,NQ,ict_sweep_fvg,long,17243,17245,17245,2024-09-04 13:30:00+00:00,2024-09-04 14:00:00+00:00,2024-09-04 14:00:00+00:00,18898.75,18859.75,-156.0,-159.0,-1.0,156.0,156.0,3.0,sl,0,NQ:ict_sweep_fvg,15.0,0.5,-1192.5,1192.5,1170.0,2024-09-04
futures,RTY,ict_sweep_fvg,long,17243,17260,17260,2024-09-04 13:45:00+00:00,2024-09-04 18:00:00+00:00,2024-09-04 18:00:00+00:00,2145.4,2149.6,41.99999999999818,38.99999999999818,0.8666666666666613,41.99999999999818,41.99999999999818,3.0,tp,0,RTY:ict_sweep_fvg,40.0,0.5,779.9999999999636,899.9999999999636,839.9999999999636,2024-09-04
futures,NQ,ict_sweep_fvg,long,17280,17293,17293,2024-09-04 23:45:00+00:00,2024-09-05 03:00:00+00:00,2024-09-05 03:00:00+00:00,18926.25,18952.25,104.0,101.0,0.9439252336448598,104.0,104.0,3.0,tp,0,NQ:ict_sweep_fvg,15.0,0.5,757.5,802.5,780.0,2024-09-05
